Name,Review,UpVotes,Rating,Date
Tareeq Olusa,Sometimes I'm scared to upgrade coz the upgrade's far worse than the previous but still a very amazing app. Been using this since about 2014 and I can say it's the best out there,,5,"March 26, 2020"
D. Hansel,When moving this app to the SD card the program stops working. If I leave the app it in the phone main memory it works OK.,2,4,"April 2, 2020"
Naim Mian,App keeps crashing when moved to external storage to save some space in my device. Worked perfect when in internal storage,,2,"April 19, 2020"
Austin Wilpan,"Love this media player, but after the last update the playlist option doesn't work.",,4,"April 19, 2020"
Sujata Behura,"Plays every kind of video. Even if the video isn't playing in the built in video player, this video player will make it play! Wonderful App",1,4,"April 17, 2020"
Broking the Matrix Reloaded,"Decent, but have usability problems: 1. the app force refresh the folder content at same time when user is selecting what he want, that is very annoying and caus a lot of lag.",3,5,"March 16, 2020"
Praise Rapheal,"Loving this app, I've been using this app for years now and it's absolutely the best it's the best video and audio player.",,4,"April 20, 2020"
S. K.,"Every time my phone connects to the car bluetooth, it automatically starts playing voice notes. Please have an option updating with an AUTOSTART AND STOP feature. Thanks.",6,5,"March 31, 2020"
Rajnish G,"After the latest update . V L C is not working properly. Its being auto stop every 5 min .So , thats why 2 star. If problem is slove soon then stars can be change.",3,1,"April 3, 2020"
paul toppo,"In PC version it's nice, but in android version it mess up with video list, and option for sort up..",2,2,"April 7, 2020"
Kunal Gurjar,Old version was good but the new version has problem to reduce the screen sizes only 2 rypes are available.,,1,"April 15, 2020"
Christian Elley Official,subtitles sometime is not functional due to some videos aren't subtitles on it. pls build your on subtitle incase the video it self doesnt have one. thank you,,2,"April 15, 2020"
matheus erastus,after this update....once i open the app it is not displaying anything......... haven't received response from developer,1,5,"April 27, 2020"
shawn tane,"Uninstalling because it had over ran my data limit for a week, before the update. & Now I tried this morning it used over 58mb before noon, so I may lose video player but phone won't run out of data when I leave home again",8,1,"March 22, 2020"
Wasim Aftab,this app is the worst app. it crashed all the time on my Samsung galaxy wide. also it hang my Samsung galaxy wide,,2,"April 25, 2020"
Onyx Larry,"I used to love this app since 8 years ago but now my new huawei, Music stop playing in background everytime I had to go press play again.",,1,"April 13, 2020"
Timothée Ravier,"Works well and features comprehensive audio, video and subtitles format support.",,2,"April 18, 2020"
Tabish Mansoor,I like vlc player good working and lock system is very good.,,5,"April 27, 2020"
Folawiyo Aloba,A solid app 💪👌... Especially subtitling foreign language,,1,"April 23, 2020"
Sachin Chauhan,Plz add an option to play next song when a song is playing .In which the seamlessly upgrade to new song.And it is very easy to use and it doesn't contain ads this is very good.,26,5,"March 28, 2020"
Asif Alam,It is asking for SMB credentials every single tap even if i check the remember me checkbox. Please fix.,1,4,"April 6, 2020"
Kenan Pillay,"While it enables phone to play mkv, there is lag (gray screen) every 10 seconds. Very annoying",1,2,"April 6, 2020"
Pankaj Chadha,Subtitles never work!! Tried everything.... But it simply doesn't work!!,,2,"April 15, 2020"
Long John muziq,The app its just awesome. For me there is no need to to have audio music in my music storage because it can play a video clip as an audio. Thanks to the providers,8,1,"April 1, 2020"
Mike Bourns,I'm trying to cast to my Roku but can't seem to find the playback section I need to send to. It only asks for a HTTPS,,5,"April 9, 2020"
hafsah jibo,I've been trying to download subtitles and it always says error occurred.,,4,"April 13, 2020"
Klaza Boy,It is so nice....as it helps to play various videos with different version easily.....we thank you developers for making our life so easy🙏🙏,,1,"April 19, 2020"
Gaming Company Corp.,Useful features such as sound level above 100 and increase video brightness while the video is playing are important to people like me. 👍,2,4,"April 23, 2020"
Diaa Nabil,"I highly recommend this app, if you want to replace Huawei Apps (ads, take too much time to open) so this app is the best solution for playing audio and video.",6,5,"March 24, 2020"
Adam DeGrechie,I have used VLC since they came out I wish these phone n tablets come with it as there main player always having a difficult time with them or the dont play the file but VLC will everything Great product,,5,"April 14, 2020"
MAX M.D,"Great app, just wish I could change the pitch of songs to hear my usual songs differently🤗",,5,"April 11, 2020"
OLAREWAJU ANUOLUWAPO,"Useless App refuses to download subtitles of movies that needs subtitle, always giving a reply of an error occurred try again😡😠😠",2,4,"April 13, 2020"
enevis85,"No polish letter, I try all decoding standards but still nothing. Other player's working fine.",,1,"April 13, 2020"
Joaquim Eliseu,"That program is very good but I don't know enough about to work with it. Necessary files, in my laptop I have one program and it works well",2,1,"April 14, 2020"
Satya Singh,"No surprises, it worked like charm on my computer for ages and so does on my phone. Great job team.",,4,"April 14, 2020"
Tessy T Sylvester,VLC my all time. Very nice. Open videos that even my own gallery cannot. Thank you guys.,,5,"April 22, 2020"
Arsenic,"The best media player! I even managed to wire it to discord to play every single video without downloading it, and with minimal buffering. Wonderful!",12,5,"March 16, 2020"
Steve Mann,"Originally using MX Player Pro and have found this a lot better. Easier interface settings. Generally my experience is positive, appears to be more reliable.",9,5,"March 23, 2020"
wanguardianleviosa Merritt,Almost identical to the PC version. It's the OG. Loved it way back and still love it now.,,5,"April 4, 2020"
St Michael Office Hurstville,"Fast, uncluttered and reliable. For some reason Youtube links don't work on my Samsung S8 (SM-G950F), works on my OnePlus",2,5,"April 3, 2020"
Chris Caban,Let me play videos that were corrupted my phone. My sd card broke a while back and i use an app that still downloads right to the sd card. This app let me access video from my sd card finally a solution,3,5,"April 4, 2020"
Samrat Saha,Video forward option would have been a great feature.,,5,"April 22, 2020"
Wesley,Track Title Scrolling is not necessary it just makes choosing a file confusing and larger font for tablet devices would be great. Also please bring gapless playback,2,5,"April 15, 2020"
Mohammad Asad,Could use some improvements like fast forwardingbackward in the audio player.,1,4,"April 12, 2020"
Efere Edmund,The app worked great at first but it's kinda malfunctioning now. It stops before I even get a change to play a video.... I can't use it for a damn thing,7,3,"March 14, 2020"
Sejal Y,Great app! Love the subtitles and audio track feature for movies. No problem at all! Best app for watching videos!!,6,1,"March 28, 2020"
Subhash Pagudala,Very useful to download subtitles directly or manually and watch movies. Thanks to VLC.,1,5,"April 14, 2020"
Phillip Joug,latest version doesn't work on my Blu advance 5hd. Black screen then back to main Android Page old version did work fine,,3,"April 14, 2020"
cycromatick lasanga,Just like the pc version its all around media player app Very convinient ànd easy to use,2,1,"April 20, 2020"
Sebastian Heslop,Best Video and Audio app ever. Used this app since 2014 on my computer and laptop loved it and I started using it on all my devices. Well done VLC!!,9,5,"March 14, 2020"
Khalim,The pop up player too sensitive. Everytime I accidentally swipe it's close the pop up.,,5,"April 22, 2020"
Randall Mitchell,Allways have been a VLC fan. will repost once I'm more familiar with the app. working fine but still trying to add features.,,3,"April 24, 2020"
Egi Trisnandi,"Why i cant download subtitle manual? The notification always some error occured, try again in a few second... This problem its been a month... Please fix this",,5,"April 14, 2020"
gene mcintyre,It cannot cast to my Google Chromecast ultra. This needs to be fixed.,,1,"April 15, 2020"
RITESH SONWANI,The features of this app are just amazing but the switch between portrait mode is very odd other than that it is amazing,,1,"April 17, 2020"
Arvin Garcia,It's supports most video extension. It's an essential app for the modern smartphone.,,5,"April 27, 2020"
Arie Huybregts,"I'm a big fan of VLC in general, and the app works and I find it easy to use.",2,5,"April 11, 2020"
j nym,This is really great. But only a drawback which drains battery too fast.,,5,"April 19, 2020"
Musa Bigy,"Very nice and easier to operate, but forwarding and backward is old, and also the way that it's speed is o",5,4,"March 23, 2020"
Charles Cutts,"I use this app to watch the videos i already have on my phone & i have to say, its absolutely spot on!! 😀😀👍👍 It does exactly what i need it to do. Im well happy with it 😀😀👍👍",7,5,"March 30, 2020"
Ali,"It is a perfect app, currently I have some issues with it in Android and linux machine, but i hope it will be solved. I will try to resolve it",3,4,"April 1, 2020"
luis boto,"The best, read all formats, download subtitles and it's free, I use it for a very long time and never let me down",5,5,"April 1, 2020"
Sumedh Araokar,The player shuts down after pausingturning the screen off. Very poor behaviour by the app,,5,"April 12, 2020"
Code L7,"It's a great app to watch Downloaded Movies, TV series, Anime, Cartoons, or even for Project.",,1,"April 20, 2020"
Prince Nagrale,Why it doesn't play mkv files.. And also add a feature to add a audio track to any vedio plz,,5,"April 20, 2020"
James Paterson,Very good but only plays and shows about 114 tracks of about 150 in the unentliche geschicte!,,2,"April 21, 2020"
Sam Ham,"One of the best apps I have ever used; however last time I updated it, the app stopped downloading subtitles. Please, do fix this bug.",79,4,"March 11, 2020"
dedan omondi,"Frequently reloads and fails to play also very ineffective when selecting other item from different group, reloades forever. Just isn't efficient as it used to be",6,3,"March 23, 2020"
Ángeles Pintos,All types of audio and video formats can be played or edited here. Totally worth it! Useful for teaching and personal interests.,3,1,"March 25, 2020"
Naftalie Mushendo,Always the best app that cannot beat by any others media player since I start using more than seven years from my PC to my Android phones stay and be the champ for the rest of centuries,10,5,"March 25, 2020"
Saam Steals,It works well but my only problem is that the mini player isn't available for me even though I had tweaked the settings and enabled the picture-in-picture function,5,5,"March 29, 2020"
Hagar Tomson Gaming,really awesome app. Any type of video file supported and also contain really awesome features.,,3,"April 4, 2020"
Olarinde Awwal,This is one of the best media apps out there it plays I all forms of mp3 musics and even plays CDs ISO I'm impressed and most of all its completely free and no adds involved thanks alot,,5,"April 14, 2020"
bigomar04,Every time I open up the app and try to watch something from my router it freezes but other then that perfect,,5,"April 25, 2020"
Kirk Ken,I would have given this app five stars buh not because it doesn't download subtititles automatically. It always says download failed. Fix that,,3,"April 4, 2020"
Devashish Patel,1. Pop player not working properly 2. please make your app more user-friendly needs to work in user interface,1,2,"April 3, 2020"
Suresh Bhatt,"This app is amazing man, I have tried playing a movie in inbuilt players and share it player too, but the movie didn't played with audio. VLC fixed the issue. Thanks",6,4,"April 1, 2020"
Paolo Subeldia,"Once you click 'download subtitles' , the app stop and kick you out. Hope this be resolve :)",,5,"April 4, 2020"
Sean Jasin,"Would totally recommend, but streaming through links is basically broken, otherwise this is a great app",,3,"April 6, 2020"
shivam tyagi,Plz add some features like as MX player- 1- screen rotate itself on the type of video like MX player. 2- video zoom like MX player and actual resolution size.,,4,"April 18, 2020"
Lokho Sana,This app is the best i love it and it meets my expectations for my media playing,1,2,"April 21, 2020"
Kitoy,"The Best player ever you can get! And also you can download subs from here. I love this app tbh, very easy to use. Just one thing tho, why dont the subs display sometimes? In some movies?",16,5,"March 23, 2020"
Glen,"Excellent, it plays every file I've tried on it, even when they have failed to play on other media platforms.",5,5,"March 29, 2020"
DJz Asylum13,Some of my music doesn't play anymore. I never had this problem with this app. I've been using this app for almost 10 yrs now. What's changed?,2,5,"March 31, 2020"
Sowjanya Rai,"The app was all fine till I updated it and after this latest update, it is not opening up at all!!!",4,2,"March 29, 2020"
Ambidextrous boy,It's a cool app that allows me to watch sny type of video without exiting or crashing.,,1,"April 8, 2020"
Pakeeza Dar,"As soon as I try to download subtitles, the app simply crashes!",,3,"April 13, 2020"
pratik damani,Excellent! The only app I found that can play mkv files to chromecast smoothly.,,1,"April 14, 2020"
socom2,Always scans for media when connected to bluetooth. Auto scans are off but still does it. Tried clearing cache and reinstalling but still does it.,6,5,"March 14, 2020"
Theresa Ihezue,"The subtitle feature is as good as useless... Can't download subtitle, can't even search already downloaded subtitles from your internal storage",8,3,"March 27, 2020"
J SmooTh,Best Media Player OF ALL TIME !!! Full EQ... Extended Vol... What more can you ask for !!! Great 5yrs of Performance VLC !!!,1,4,"April 6, 2020"
Michael MCSE,Chromecast casting functionality is terrible. Freezes or just stops working while streaming and volume keys dont change audio of casted media,,5,"April 7, 2020"
Emaenul Islam,"Hey,the subtitle download isn't working for a few months now.Tried on multiple devices.Hope it gets fixed soon.",2,2,"March 17, 2020"
Philip Mwangi,"My app of choice for as long as I can remember. A gift to all users, try it out. Never disappoints and gets better with every update.",,4,"April 8, 2020"
SingHouse Kreation,I am very disappointed with this version please do some changes in the vlc player add audio and video delay option and given forward and backward button and given display resize option manually and automatic both and vlc player display show folder i am sure with these changes VLC player more better,5,5,"March 14, 2020"
sachin sharma,The only bad thing about this app is movie or video can be played from we left it and every time i minimise this app video retarts 😥😥,,2,"April 28, 2020"
Mithlesh Nishad,Come on Yaar there is no subtitles in any movie. It is not showing any subtitle even after download externally. Just recorrect your coding. This is happening from last update,3,4,"March 19, 2020"
Stephen Preuss,It doesn't have the functions that VLC player has every where else! Please fix.,,3,"April 14, 2020"
Rabbil AR,"Best video player i think, simple ui and ux, and support many video extension",5,3,"April 17, 2020"
Lynn Fisher,Use it all the time across multiple devices for all audio and video.,1,5,"April 22, 2020"
Kushal Singh,its the only app which can play video of any format even when the video is incomplete,,5,"May 1, 2020"
topper2142,"Casting STILL SUCKS.S9+OnePlus 7 pro and now the lgv60 . You cast a show,plays for 5-10 mins and then it shuts off.",1,4,"April 2, 2020"
a Njai,I downloaded some subtitles but everytime i use them on a video it starts lagging please fix very annoying!,,1,"April 12, 2020"
Fortune Sibandze,This app is superb as it can play any kind of video but it lacks fun when playing music and audio. But I still recommend it,4,1,"March 26, 2020"
Kaiwalya Choudhari,Nice app to see movies. Very nice app to see you sir regards the number before closing date for the information contained in this email and any attachments are handled the situation and we will be Sunday tomorrow morning and we will be Sunday tomorrow morning and then a great day for me as a student of the line and respiratory system and we will have a great day for you so it was the number of devices allowed by of class and Twitter and Instagram and Twitter account the number of the student is,1,4,"April 2, 2020"
Muhammad Ali,I m feeling so angry.. whenever i play a video the screen turns gray for a short period( maye fo 3 to 10 sec but it sucks) it is too much now 😣 fix it yaaarrr,5,5,"March 25, 2020"
Chirag Patel,"I have been using vlc on windows, linux and now on android. Its Ad free. As result, even If they start charging it, i will choose paid version first if i can afford 100 inr.",4,3,"March 28, 2020"
Roger Deliman,"very useful when it comes to playing movies, with high volume for audio. i love it.",5,5,"March 31, 2020"
Mejor Amigo,Vlc using my mobile internet while i watching offline videos. Vlc doing media scanning as 'parcing media' in this time and using my mobile internet in very high quantity. I don't know why it use mobile internet. How can i stop this?,,5,"April 20, 2020"
Wijaya Kusuma,"Playback history is annoying, i have unchecking it but its stil save its state, finally i've got to Clear playback history in Advanced.",14,1,"April 10, 2020"
Eric K,Works most of the time. Others it crashes my chromecast and I have to restart my phone and the chromecast,4,5,"March 22, 2020"
Rk1994 chauhan,Subtitles doesn't appear while casting the videos. Please help us to resolve this issue.,7,2,"March 26, 2020"
Dipak Seta,"Can't play previous video, Stop video or restart video from beginning after minimise the player to check other app",,3,"April 12, 2020"
Pishoo Porsche,After moving the app to the SD card memory.. It doesn't work! And not starting! Fix it please,,1,"April 12, 2020"
Anon Amous,"No issues at all!. my wish.... I can't wait until VLC makes it possible to watch a movievideo in my truck, via Android Auto.",16,2,"March 11, 2020"
Princess Akinbiyi Oluwakemi,Good app but why is the subtitles download not working. It's so frustrating,,5,"April 19, 2020"
arief amar,Can't load subtitle (.srt) file on my realme 3 device,,3,"April 28, 2020"
Logan Howard,"If VLC can be installed on a machine, I install it. It's a reliable, easy to use, powerhouse.",1,3,"March 21, 2020"
Walter Parmantie,Very poor sound reproduction quality.,1,5,"May 1, 2020"
Sasa Fiti,"This is the best app of all have tried ,,no hanging its very lite to open any video format u want ..good application",,1,"April 4, 2020"
Prins Jawane,This is very good. And its features are also very good. I have been using this for three years.,,5,"April 7, 2020"
Collin R. Boyle,Works great even when no other players do.🎬📹📼📀,,5,"April 25, 2020"
Neil O'Connor,Chromecast stops working every time after about 10 seconds into the movie. Thanks.,5,5,"March 23, 2020"
Sally Anne Vermaak,Always love Vlc and when perask me what media player i use i Say Vlc. It works well from my linux desktop and Windows laptop and down to my android phone,,1,"April 17, 2020"
Syed Javeeth Akthar,But in this app must not be shows share option how to share videos from VLC media player but MX player may be share videos but it wasn't convenient to my purpose because contains add but this app awesome and plz update new version to share videos option..,6,5,"March 12, 2020"
Victor vicsantos,Best app of all time.you better download it and have fan watching your videos,,3,"April 29, 2020"
Aravind Pujari,"Doesn't open media library in Android TV ,,, wasn't expecting such a major bug from VLC",1,5,"April 4, 2020"
Vineeth M. S,No option to sort videos by date .apart from that a great ad free video player... 👍👍👍,,1,"April 9, 2020"
Panitha saneth,I think it's a great app for both audio and video. Lots of features and no annoying ads.,,4,"April 11, 2020"
olajide ewetayo,"Great, but please i want to be able to adjust subtitle size.",,5,"April 19, 2020"
Gamer101 pro,I'm having trouble with my video playback mp4,,4,"April 25, 2020"
Vicky Chimdi,"This app is wonderful,better than mxplayer,and you can also play your music with it all in high quality",6,3,"March 16, 2020"
Gideon Freeman,"it a great app but on my Techno pop 1s 8.1 version , when playing back mode it doesn't work but instead it play the video in music form",,5,"March 25, 2020"
Meena selvam,Android 10 screen share issues.kindly fixit in next update. There is no screen share and if we play both screen are playing.,4,4,"March 26, 2020"
Ramakrishna Reddy,Subtitles not loading Mx player seems better Hope u fix it soon,1,3,"April 21, 2020"
Nathan M Jr,Streaming video and music from home network media hub or shared folders is great. No more copying files to device to play.,6,2,"March 16, 2020"
Ishtiaque Hossain Ayon,"Nice, clean and simple. Best app in the market so far",,5,"April 23, 2020"
Farinto Wasiu,I don't understand how it works cos I am unable to download subtitles for my videos and that render it useless on my phone . Any help to get this fix ?,1,5,"March 20, 2020"
Sparsha Dhar,"Every time after locking screen and then unlocking or pressing the home button without closing and again returning to it, I have to load the subtitles again from the directory",6,1,"March 25, 2020"
Péter Pajzs,Bunch of bugs. In every 20 minutes stop casting media.,2,3,"April 10, 2020"
Andrew Nabooyo,This has been my best app though when searching subtitles different ones are given pliz improve on this otherwise it's the best,,1,"April 6, 2020"
Akinbolade Femi Oyegbile,Kindly improve in the aspect whereby files can be sent to another device through the app. Thanks,,4,"April 26, 2020"
Athenkosi Mabokela,It's a great app it's easy to use and set your equalizer and make the sound exactly what you want it to sound like,15,5,"March 11, 2020"
James O'Donoghue,A man for all seasons this. A factotem go-to app for all your playback needs. Totally excellent.,6,5,"March 15, 2020"
Chuck INC,Damn good. Keep up with the fixes. We could really use a sort by date option though.,6,5,"March 12, 2020"
Chong Beng Lim,"Very unreliable If left unplayed for a while, then the mp3 cannot be replayed based on the time it was paused. One of tge worst apps....",4,5,"March 25, 2020"
James Blanton,"Works well on my phone, just as it has done on my PC for years. Very happy with VLC.",13,1,"March 29, 2020"
Andre Smit,"It's the best media viewer, streamer, just works. Supports every conceivable protocol. Product of great software engineering.",,5,"April 9, 2020"
OM RANPARA,I am happy with this app because I am able to search and download subtitles for movies belonging to languages other than English.,2,5,"March 30, 2020"
Tien Dva,"Good app, no ads, I use it instead of google play music.",,5,"April 2, 2020"
Any Body,Carshes too many time . You need to fix this . Searching online subtitle option need much more improvement .,1,5,"April 14, 2020"
Just Here999,"VLC no longer works on any device, not even Linux Gamepack or windows, please fix for 5 stars again.",,2,"April 18, 2020"
Shubham Nayak,Provide audio or mp3 lyrics facilities.,,1,"April 27, 2020"
Pharoah Graham,BS!!! Subtitles disappear on casting!!! Video freezes casting too!!!,3,1,"March 29, 2020"
Rujjivit tapashcharya,Best player for android but there is a problem while casting subtitles doesn't appear on tv??,2,1,"March 19, 2020"
Deyko,My video library with new update still looks terrible. In the new version no grid if to group videos and I have to scroll one column from top to bottom.,24,4,"March 19, 2020"
DR NOBAB,"THIS APP IS ON OF THE BEST APP THAN MX PLAYER........I LOVE 💓 THIS APP....I LOVE #VLC APP...... THIS APP WORK WELL on my slow mobile...SO, I LOVE IT... MX PLAYE DOESN'T WORK WELL ON MOBILE.... SO I HAT MX PLAYER......... AND I LOVE #VLC VEDIO APP..FOR ANDROID.... 💓💓💓 I LOVE THIS APP CREATOR....",5,1,"March 14, 2020"
Jorge Luis Aguillon,This app is awesome but the only thing that would make it perfect is for it to display menu on DVD ISOs. I got many family DVD ISOs that can be reproduce due to that :,5,5,"March 30, 2020"
Mohit Gandhi,App is pretty good but would like to have a feature to add external audio to a movie just like vlc media player.,3,4,"March 28, 2020"
Shrikrushna joshi,"Not in this app Serial play option 1,2....and a,b,c.... Sequence play Cross play Up to down and down to up Make this options Thanks, Radio broadcasting dept.india",4,5,"March 31, 2020"
Saifee Alii,This is best.. this is just love.. using it both on pc and android.. most of other players not supporting vtt subtitles but vlc supports it.. a big thanks,2,1,"April 3, 2020"
HlonilehokoZA,"What wrong with subtitle option, words are faster than words been said or vise verse 😢",,5,"April 3, 2020"
Nontokozo Nyundu,I love this app but I can't play music on Huawei y5lite when my phone lights screen turn off the please fix it,,1,"April 8, 2020"
Rashied Williams,I love VLC but the only problem i face now with it it doesnt want to open i delete it and download it agan but still do the same problem what can it be,3,3,"March 21, 2020"
Adnan Sheerazi,Volume and brightness gesture indicator last longer ..it should be only shown when we are sliding updown..like in mx player..it feels much snappy and easy to watch,36,5,"March 31, 2020"
Selkie Paget,"Downloaded this because I had read it would fix the audio codec issue on videos I had recorded, but it didn't",3,1,"March 18, 2020"
Anirban Chaudhury,"This is an excellent product, for android, iphone and Windows. One of the most essential software for a device.",4,1,"March 24, 2020"
Philip Achesa,This current VLC is not perfoming well. Cuts audio before it ends and goes off!!!,,5,"March 29, 2020"
yash parkhunda,"simple, clean, no bug, no ads, powerfull, all essential functions. over all best video player",20,1,"March 30, 2020"
Mari Muthu,The best player but need some improvement in audio player continuity,,5,"April 4, 2020"
Opebiyi Isaiah,"Please VLC hasn't been playing videos that I downloaded from Vidmate,it's been telling the file is unsupported format...Please fix that",,5,"April 19, 2020"
isaac osaghae,The app deleted by itself and several attempts to reinstall it failed.,,5,"April 30, 2020"
Mohamad Farel,I just update it and still crashing at my redmi note 8 pro,,1,"April 20, 2020"
Omid Manon,"Latest update kills my music while it's playing, I have to manually go into the app to restart. Done this about 8 times or so already.",10,2,"March 12, 2020"
Miloš Piperin,I had trouble to increase headset volume for NOKIA 3.2 before I instaled VLC. Thank you guys. Equalizer is awesome.,2,1,"March 25, 2020"
Akshay Kumar Nayak,Fantastic video player app. But more resolution customise option should be given in the app.,1,5,"March 28, 2020"
ZEE fromTV,If I stop vlc and then switch back it never remembers where I left off. Very annoying,,4,"April 6, 2020"
Channa Enter10ment,The player is good but I can't find the videos of my storage I think there is need to add folder option,,2,"April 9, 2020"
Online Daily Blog,It's a great app. Offers everything i need in media.,,3,"April 20, 2020"
Gowtham,"Cool video player for Android, may many app come and go, VLC is irreplaceable.",,5,"April 16, 2020"
Christopher Klassen,Great app to openplay all sorts of different media files and types,,5,"April 16, 2020"
Summer Grace,It works well with video but I no longer can see photos? Help,,5,"April 18, 2020"
Nate Windwood,"Please consider adding Wi-Fi sharing, like in SoundSeeder. Also, lyrics support would be awesome!",,3,"April 26, 2020"
Pearlsofnym,"Totally awesome! 1. If you don't have subtitle, you just can download it from VLC!",2,4,"March 20, 2020"
Chris Breitner,Terrific video player -- compatible with Windows SMB v2 and SMB v2 network shares without needing to copy local.,1,5,"March 20, 2020"
fortune paul,Worked nice but since the update its highly unstable on Android 10 and keeps crushing when i cast a video,,5,"April 12, 2020"
Jhun Keinn Calinog,Your latest update makes my phone freeze (s7edge) when using the pop-up player... please fix this issue,2,2,"March 18, 2020"
samuel Fuenmayor,"Awesome app, I do appreciate the extra add-on that has but I think it's time for a new look. Thanks guys you are doing an amazing job!!",2,3,"March 24, 2020"
Malefu Photolo,The app was perfectly fine before I updated it but now I can't even use because it won't open.,2,4,"March 28, 2020"
JARNAIL SINGH,"I download this app because , I used it since its invention on my Pc, Its support many format. Belive it work same on android.",,1,"April 3, 2020"
Ijebundu Peace Oluebube,Just wonderful...and provides subtitles at very cheap rate..extreamly clear,,5,"April 7, 2020"
Julius Van Staden,No volume control for casting device? Am I missing a setting?,,5,"April 8, 2020"
Adrian Mutakela,"Great app, it stores my songs and videos just in the order I want them...",,3,"April 15, 2020"
Darrel Hernandez,refresh button not working also the auto rescan in the settings,,5,"April 21, 2020"
Eehwuwisisjs Eusisidjqjaksjs,Simple multimedia player without ads.,,1,"April 21, 2020"
Ahmed Mansi,The best. I think adding a feature to sort by the size of the video would be a geart thing. All the best.,5,5,"March 14, 2020"
John,Incorrect album picture being shown for mp3 songs by the same artist. Also no way to change SMB password.,5,5,"March 21, 2020"
Tuff Tirosh,I love dis media player as my application to play any kind of video or audio file.,4,1,"March 19, 2020"
sachin lohar,1.Subtitle synchronization is not working. 2.when u see the list of videos the file names are continuously running from left to right,2,4,"March 24, 2020"
Sayr Olivares,"Magnificent, a work of art, better than other players and this is free;)",,1,"March 27, 2020"
Rudy Dogg,Work perfect. But why the app doesn't work or doesn't support on nvidia shield TV?,,5,"April 12, 2020"
cpnoi,Great for movies. But hard to find suitable subtitles,,5,"April 12, 2020"
sharma mayank,I have a video file which runs smoothly in pot player pc but in vlc android the audio is delayed and also AV is unsynched,,5,"April 17, 2020"
Bryan,Nice interface but please improve stability and dlna client,,4,"April 24, 2020"
EVERTONE santos,Add a audio downloading option..otherwise this app is better than mxplayer,,3,"April 29, 2020"
RichardE Gugulaii,The only player I've used that has reliably played every video I've put up o against it.,1,5,"March 21, 2020"
Prince Ahene,"I really love this app, it really helps me play all my musics. Great app",,5,"April 7, 2020"
Patrick Eziokwu,The subtitles downloads is an amazing feature! Could do with manually differenciating between series and one-off movies though..,3,5,"March 14, 2020"
Abba Yakub,Brilliant app.. I love it ... One of the best video player I use... Although I would love it if they added more themes or colour,45,4,"March 16, 2020"
Kisara Kodithuwakku,This is literally *the only* player thay I've found to support that one weird audio codec from the *completely legal* videos I've Torrented,1,4,"March 20, 2020"
Keith Rogers,"Full featured, powerful multimedia player that's easy to use. Worth trying if you haven't already.",9,5,"March 19, 2020"
Arthur Rosales,Very good has lots of things the enhance video.tweak em out.and plays just abot all files.,,5,"April 9, 2020"
Halimat Ibrahim,The update you did is bad..please take it back to old version where we can easily increase volume and change brightness...I don't like the new one,,5,"April 14, 2020"
acg usama,Vlc is good movie player app it produce any type of heavy sound .,,1,"April 24, 2020"
Chris Harring,Efficient player for video & music.,,1,"April 26, 2020"
Nitin Patel,jordar as no ads . useful for both video and audio file.,2,5,"April 14, 2020"
Emil Kade,Open Source rox. i appreciate decision to stay OpenSourced and without adds. thank you. it may have some bugs but still OpenSource :),6,5,"March 10, 2020"
Utkarsh Porwal,I can't play network streams...earlier it was playing ok...while I can play those same on some other available players.,7,5,"March 11, 2020"
Kanezasuke Ren,Pretty Good App.It works perfectly exept when I use it to cast a Movie into Chromecast and i've selected a caption the caption wont work on the TV.Please Help XD,1,2,"March 19, 2020"
Ciprian,The movies have visible frame drops while watching through Bose headphones via bluetooth. Even more frame drops when double click to zoom.,7,5,"March 22, 2020"
Derrick C,"Spotty Chromecasting, esp. MKV files. Playback fails at certain points in video",,1,"March 25, 2020"
Saadiqah Miranda,Can't download subtitles!!!! Previous version worked JUST FINE!🙄,1,3,"March 27, 2020"
Larry Williams,Dosen't play all files. The ones that played showed poor quality not HD.,1,3,"March 28, 2020"
remmy brown,"Having problem with the subtitle, it saying an error occurs",1,2,"April 17, 2020"
kimtalk kim,Please fix video play audio interuption it really sucks,,1,"April 27, 2020"
gigsss ___,"I've been using vlc for a long time now but in the recent update vlc won't scan my external anymore, I don't know why but pls fix this.",3,1,"March 20, 2020"
Jerry Nyimbili,this is where i choose the music play speed and create my favorite playlist only improve on auto change of dark mode and light mode,,3,"April 9, 2020"
Lukas,Have to type in credentials for smb share each time I change directory. It would be good to implement smbv2 as v1 is legacy and unsafe,,5,"April 12, 2020"
LAHIRU HASHAN,Nice🤘... videos can be played as musics.. but some videos in gallery can't be played...,1,3,"March 18, 2020"
Joe Labaki,Awesome app it helped me play back my 25 years old kids videos I love it Awesome interface easy to use it made my dream come true thank you guys,3,3,"March 24, 2020"
bamidele teebam,"i observed that whenever i pause a playing video and play back ,it mute for second .",,5,"April 3, 2020"
Md Ajom Ali,Just Awesome. I'm enjoying the music streaming for playing online FM radio.,,4,"April 6, 2020"
MD PJ,Bad to stream.takes more time and more storege than others player.mx player far better than that.,,5,"April 19, 2020"
Chibuzor Henry,The app have totally improved over the years... Still can't download some subtitles automatically,2,1,"March 19, 2020"
Faran Negarestan,Perfect player except that subtitles don't show up while casting.,2,5,"March 10, 2020"
